MMAF_CODE,MMSI,STATION_NM,STATION_TYPE1,STATION_TYPE2,MMSI_TYPE,VIRTUAL_MMSI,MMSI_EXT_NM,REAL_MMSI,LATITUDE,LONGITUDE,INSTALL_DT,LANTERN_INST,RACON_INST,BATTERY_INST,CHARGER_INST,CHARGER_INST,DATALOGGER_INST,SPARE_INST,MAIN_VOLT_INST,SOLAR_VOLT_INST,BATTERY_VOLT_INST,SPARE_VOLT_INST,AIS_CURR_INST,LANTERN_CURR_INST,DATALOGGER_CURR_INST,SPARE_CURR_INST,WIND_SPEED_INST,WIND_DIRECT_INST,AIR_TEMPER_INST,HUMIDITY_INST,DEW_POINT_INST,AIR_PRESSURE_INST,HORIZON_VISIBL_INST,WATER_LEVEL_INST,CURRENT1_INST,CURRENT2_INST,CURRENT3_INST,WAVE_HEIGHT_INST,WAVE_DRC_INST,SWELL_HEIGHT_INST,SWELL_DRC_INST,WATER_TEMPER_INST,PRECIPI_TYPE_INST,SALINTITY_INST,ICE_INST,HEAT_PROSTR_INST,HELIOGRAPH_INST,OXYGEN_INST,OXYGEN_SATUR_INST,PH_INST,CHLOROPHYLL_INST,MUDDINESS_INST,PRECIPI_INST,TREE_DEPTH,TREE_OD,PARENT_MMSI,PROCESS_STATUS,VTS_ID,BASESTATION_ID,CHARGER_CURR_INST,DISCHARGER_CURR_INST,STATION_IMG,REGIST_USER_NO,REGIST_DT,UPDT_USER_NO,UPDT_DT,TIDE_INST,WAVE_PERIOD_INST
111,994403802,대진등대,2,0,1,994406932,,994403802,38.503778,128.428889,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,4,,994403802,4406110,0,1,,,,,,,
111,994403801,속초등대,2,0,1,994406931,,994403801,38.213639,128.600283,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,4,,994403801,4406110,0,1,,,,,,,
111,994403800,묵호등대,2,1,1,994406930,,994403800,37.554483,129.118553,,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,3,,994403800,4406110,0,1,,,,,,,
111,1702028,초도항방파제등대,1,0,1,1702028,,1702028,38.48525,128.4401389,,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,5,,,,0,0,,,,,,,
111,1702027,심곡항방파제등대,1,0,1,1702027,,1702027,37.665,129.0556111,,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,8,,,,0,0,,,,,,,
111,1702026,호산항방사제등대,1,0,1,1702026,,1702026,37.17497222,129.3450278,,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,,,0,0,,,,,,,
111,1702025,호산항방파제등대,1,0,1,1702025,,1702025,37.17538889,129.3458056,,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,,,0,0,,,,,,,
111,1702024,임원항남방파제등대,1,0,1,1702024,,1702024,37.22547222,129.3436111,,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,,,0,0,,,,,,,
111,1702023,장호항방사제등대,1,0,1,1702023,,1702023,37.28844444,129.3150556,,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,,,0,0,,,,,,,
111,1702022,장호항방파제등대,1,0,1,1702022,,1702022,37.28944444,129.3146667,,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,,,0,0,,,,,,,
